,timestamp,sentiment_neg,sentiment_neu,sentiment_pos,i_anti_vax
0,2014-01-05,0.0,0.0,0.0,4
1,2014-01-12,0.04526086956521739,0.3775217391304348,0.05543478260869565,23
2,2014-01-19,0.0752857142857143,0.6012857142857143,0.06622857142857143,35
3,2014-01-26,0.07197435897435897,0.596948717948718,0.10025641025641024,39
4,2014-02-02,0.10451428571428573,0.5403714285714286,0.06937142857142858,35
5,2014-02-09,0.08510000000000001,0.4972666666666667,0.050933333333333324,30
6,2014-02-16,0.07504000000000001,0.6796,0.04548,25
7,2014-02-23,0.03071428571428571,0.4495428571428571,0.033999999999999996,35
8,2014-03-02,0.06922,0.59478,0.05601999999999999,50
9,2014-03-09,0.049999999999999996,0.5668529411764706,0.08902941176470588,34
10,2014-03-16,0.04405263157894737,0.39410526315789474,0.03557894736842105,19
11,2014-03-23,0.03833333333333333,0.5791666666666667,0.10472222222222223,18
12,2014-03-30,0.056999999999999995,0.44431999999999994,0.05868,25
13,2014-04-06,0.058388888888888886,0.4252222222222222,0.12744444444444444,18
14,2014-04-13,0.0555357142857143,0.7047499999999999,0.06135714285714285,28
15,2014-04-20,0.08225,0.5256875,0.079625,16
16,2014-04-27,0.03295652173913043,0.5944347826086956,0.06830434782608695,23
17,2014-05-04,0.08716666666666671,0.6085714285714284,0.18521428571428572,42
18,2014-05-11,0.047310344827586205,0.6955862068965517,0.2226896551724138,29
19,2014-05-18,0.10394736842105264,0.5883684210526315,0.17605263157894735,38
20,2014-05-25,0.09575,0.59375,0.06045833333333333,24
21,2014-06-01,0.0,0.0,0.0,3
22,2014-06-08,0.04816666666666667,0.6199583333333333,0.12354166666666667,24
23,2014-06-15,0.046363636363636364,0.5905454545454544,0.18124999999999994,44
24,2014-06-22,0.05315094339622642,0.5324528301886792,0.1501509433962264,53
25,2014-06-29,0.05177419354838709,0.42370967741935484,0.15341935483870967,62
26,2014-07-06,0.042083333333333334,0.599,0.13669444444444442,36
27,2014-07-13,0.06177083333333333,0.4988333333333334,0.10604166666666669,48
28,2014-07-20,0.048400000000000006,0.6764333333333332,0.10853333333333333,30
29,2014-07-27,0.10118181818181818,0.5711818181818182,0.054909090909090914,11
30,2014-08-03,0.12155555555555557,0.5826666666666667,0.07366666666666667,9
31,2014-08-10,0.05330769230769231,0.4329615384615384,0.05215384615384615,26
32,2014-08-17,0.03605128205128205,0.4032051282051282,0.022282051282051286,39
33,2014-08-24,0.04214705882352942,0.3765588235294118,0.05185294117647059,34
34,2014-08-31,0.028897435897435902,0.34502564102564104,0.036333333333333336,39
35,2014-09-07,0.042466666666666666,0.38897777777777776,0.057444444444444444,45
36,2014-09-14,0.02964516129032258,0.31822580645161286,0.03925806451612903,31
37,2014-09-21,0.02585714285714286,0.25771428571428573,0.020035714285714285,56
38,2014-09-28,0.052000000000000005,0.5310961538461538,0.07067307692307692,52
39,2014-10-05,0.048375,0.3848035714285714,0.03105357142857143,56
40,2014-10-12,0.06754838709677417,0.4827258064516129,0.04654838709677419,62
41,2014-10-19,0.06912068965517242,0.3814827586206896,0.03215517241379311,58
42,2014-10-26,0.027756756756756762,0.30594594594594593,0.044648648648648655,37
43,2014-11-02,0.0647857142857143,0.4648928571428571,0.07746428571428572,28
44,2014-11-09,0.05567391304347826,0.4844782608695651,0.046782608695652164,46
45,2014-11-16,0.05186046511627906,0.534953488372093,0.06434883720930232,43
46,2014-11-23,0.06532558139534883,0.5174418604651163,0.0916046511627907,43
47,2014-11-30,0.05105172413793104,0.5282758620689655,0.041310344827586214,58
48,2014-12-07,0.06010958904109589,0.5953424657534248,0.08423287671232876,73
49,2014-12-14,0.08417857142857144,0.5551964285714285,0.09276785714285714,56
50,2014-12-21,0.1032820512820513,0.6560769230769231,0.06120512820512822,39
51,2014-12-28,0.06687804878048781,0.7064390243902441,0.08031707317073171,41
52,2015-01-04,0.05941538461538462,0.5736923076923078,0.0745846153846154,65
53,2015-01-11,0.07489230769230772,0.5898769230769232,0.07372307692307692,65
54,2015-01-18,0.07696202531645571,0.549405063291139,0.04454430379746835,79
55,2015-01-25,0.09405882352941176,0.5522745098039213,0.05954901960784311,51
56,2015-02-01,0.06269827586206897,0.6815258620689655,0.09199137931034482,116
57,2015-02-08,0.05793243243243242,0.6044594594594594,0.0876148648648649,148
58,2015-02-15,0.06303305785123965,0.6080247933884299,0.08513636363636361,242
59,2015-02-22,0.049517441860465125,0.6159069767441863,0.09620348837209301,172
60,2015-03-01,0.056139072847682124,0.5526490066225165,0.06668211920529801,151
61,2015-03-08,0.06407608695652174,0.5678804347826086,0.0962717391304348,92
62,2015-03-15,0.04286666666666668,0.6309888888888888,0.09283333333333335,90
63,2015-03-22,0.038655555555555554,0.6011555555555556,0.07133333333333333,90
64,2015-03-29,0.07060000000000001,0.6251750000000001,0.06668749999999998,80
65,2015-04-05,0.06889705882352942,0.6485294117647057,0.10616176470588236,68
66,2015-04-12,0.04955474452554745,0.6413722627737228,0.060883211678832115,137
67,2015-04-19,0.0403731343283582,0.7024925373134329,0.09297014925373134,134
68,2015-04-26,0.04106060606060608,0.6446969696969697,0.04907575757575758,132
69,2015-05-03,0.033666666666666664,0.7396021505376346,0.05470967741935485,93
70,2015-05-10,0.043067961165048525,0.626145631067961,0.03953398058252428,103
71,2015-05-17,0.04093382352941175,0.7062794117647061,0.06897794117647062,136
72,2015-05-24,0.031494623655913975,0.6026774193548387,0.05400000000000001,93
73,2015-05-31,0.03094827586206897,0.5418448275862068,0.047896551724137926,116
